"dbn","boro","lat","lon","ontrack_year1_2013","graduation_rate_2013","college_career_rate_2013","student_satisfaction_2013","ontrack_year1_2012","graduation_rate_2012","college_career_rate_2012","student_satisfaction_2012"
"03M479","Manhattan","40.772158119000494","-73.98779653499963","0.97","0.99","0.84","0.081","0.99","0.98","0.89","0.078"
"03M415","Manhattan","40.802174581000486","-73.95400882799964","0.57","0.44","0.31","0.069","0.66","0.43","0.42","0.06"
"03M307","Manhattan","40.77429641100048","-73.98482270099964","0.77","0.61","0.4","0.072","0.8","0.67","0.42","0.067"
"03M299","Manhattan","40.77429641100048","-73.98482270099964","0.74","0.75","0.4","0.072","0.77","0.66","0.37","0.064"
"02M655","Manhattan","40.78364426000047","-73.94574177699963","0.82","0.64","0.4","0.068","0.85","0.69","0.46","0.062"
"02M630","Manhattan","40.76540154100047","-73.98176824599966","0.81","0.84","0.82","0.069","0.89","0.82","0.51","0.064"
"02M615","Manhattan","40.72435287400049","-74.00475929199968","0.83","0.8","0.41","0.075","0.77","0.73","0.25","0.069"
"02M600","Manhattan","40.74511157100045","-73.99590641999964","0.91","0.91","0.66","0.071","0.9","0.89","0.64","0.065"
"28Q896","Queens","40.70820782600049","-73.80407794599967","0.9","0.87","0.93","0.067","0.85","0.96","0.81","0.063"
"24Q264","Queens","40.74509351900048","-73.93681389799963","0.94","0.9","0.83","0.079","0.97","0.96","0.75","0.072"
"24Q267","Queens","40.74509351900048","-73.93681389799963","0.89","0.8","0.6","0.073","0.83","0.76","0.53","0.067"
"24Q296","Queens","40.74330287300046","-73.87057497699965","0.65","0.42","0.33","0.078","0.82","0.48","0.26","0.071"
"24Q299","Queens","40.74509351900048","-73.93681389799963","0.99","0.96","0.99","0.085","1","1","0.93","0.078"
"24Q455","Queens","40.74120520000048","-73.87472988399963","0.82","0.61","0.49","0.076","0.73","0.68","0.4","0.068"
"24Q485","Queens","40.71122219500046","-73.90865212999967","0.7","0.6","0.37","0.071","0.83","0.58","0.32","0.074"
"24Q520","Queens","40.744149536000464","-73.93362674099967","0.83","0.74","0.69","0.078","0.76","0.76","0.55","0.071"
"24Q530","Queens","40.744149536000464","-73.93362674099967","0.95","0.7","0.6","0.083","0.94","0.74","0.57","0.077"
"24Q550","Queens","40.73741817000047","-73.85330572999965","0.9","0.83","0.63","0.076","0.92","0.83","0.52","0.068"
"24Q560","Queens","40.742263515000445","-73.93687612099967","0.91","0.86","0.68","0.078","0.84","0.81","0.68","0.075"
"24Q600","Queens","40.74218869400045","-73.92824329199965","0.87","0.8","0.55","0.07","0.84","0.75","0.53","0.066"
"24Q610","Queens","40.7435936440005","-73.92907786499967","0.96","0.88","0.8","0.073","0.95","0.89","0.57","0.068"
"25Q263","Queens","40.760414170000445","-73.81837627799968","0.85","0.7","0.51","0.08","0.84","0.6","0.42","0.074"
"25Q281","Queens","40.74930280500047","-73.82180810599965","0.86","0.92","0.75","0.074","0.87","0.92","0.75","0.07"
"25Q285","Queens","40.76512327300048","-73.79005967599966","0.98","0.91","0.76","0.067","0.99","0.9","0.82","0.067"
"25Q425","Queens","40.73869720300047","-73.82479482099967","0.8","0.66","0.47","0.07","0.81","0.65","0.43","0.065"
"25Q460","Queens","40.765243471000474","-73.82785528199963","0.68","0.54","0.41","0.062","0.71","0.59","0.37","0.071"
"25Q525","Queens","40.73440841000047","-73.82141748299966","1","1","1","0.08","1","1","1","0.074"
"25Q670","Queens","40.72560316100049","-73.81072114699964","0.89","0.81","0.75","0.082","0.78","0.76","0.65","0.071"
